_id,name,code,semester,year
67fc963e13ef2b6ddd3be804,Computer Science,CSC,Fall,2025
67fc963e13ef2b6ddd3be7f5,Biomedical Sciences,MBS,Fall,2025
67fc963e13ef2b6ddd3be808,Data Science,DSC,Fall,2025
67fc963e13ef2b6ddd3be812,Finance Bus Admin,FIN,Fall,2025
67fc963e13ef2b6ddd3be864,University Internship,UMI,Fall,2025
67fc963e13ef2b6ddd3be80b,Economics,ECO,Fall,2025
67fc963e13ef2b6ddd3be816,Gender and Sexuality Studies,GSS,Fall,2025
67fc963e13ef2b6ddd3be822,History,HIS,Fall,2025
67fc963e13ef2b6ddd3be82c,Japanese,JPN,Fall,2025
67fc963e13ef2b6ddd3be837,Marine Geosciences,MGS,Fall,2025
67fc963e13ef2b6ddd3be83c,Mech and Aero Engineering,MAE,Fall,2025
67fc963e13ef2b6ddd3be847,Music Industry,MIN,Fall,2025
67fc963e13ef2b6ddd3be860,Study Abroad Program,SAP,Fall,2025
67fc963e13ef2b6ddd3be80f,English,ENG,Fall,2025
67fc963e13ef2b6ddd3be81d,Greek,GRE,Fall,2025
67fc963e13ef2b6ddd3be836,Marine Biology and Ecology,MBE,Fall,2025
67fc963e13ef2b6ddd3be846,Music Engineering,MUE,Fall,2025
67fc963e13ef2b6ddd3be80d,Education and Psych Study,EPS,Fall,2025
67fc963e13ef2b6ddd3be81f,Health Management and Policy,HMP,Fall,2025
67fc963e13ef2b6ddd3be826,"Innovation, Technology&Design",ITD,Fall,2025
67fc963e13ef2b6ddd3be832,Latin American Studies,LAS,Fall,2025
67fc963e13ef2b6ddd3be83a,Master of Arts Liberal Studies,MLS,Fall,2025
67fc963e13ef2b6ddd3be845,Music Education,MED,Fall,2025
67fc963e13ef2b6ddd3be84b,Nursing,NUR,Fall,2025
67fc963e13ef2b6ddd3be85e,Strategic Communication,STC,Fall,2025
67fc963e13ef2b6ddd3be85f,Studio Music and Jazz,MSJ,Fall,2025
67fc963e13ef2b6ddd3be824,Independnt Learning Initiative,IND,Fall,2025
67fc963e13ef2b6ddd3be828,Intensive English Program,IEP,Fall,2025
67fc963e13ef2b6ddd3be829,Interactive Media,CIM,Fall,2025
67fc963e13ef2b6ddd3be82a,International Studies,INS,Fall,2025
67fc963e13ef2b6ddd3be82b,Italian,ITA,Fall,2025
67fc963e13ef2b6ddd3be841,Modern Artist Dev Entreprenshp,MDE,Fall,2025
67fc963e13ef2b6ddd3be842,Modern Language and Literature,MLL,Fall,2025
67fc963e13ef2b6ddd3be844,Molecular/Cellular Pharmacolgy,MCP,Fall,2025
67fc963e13ef2b6ddd3be866,Urban Studies,URB,Fall,2025
67fc963e13ef2b6ddd3be810,Environmental Science & Policy,EVR,Fall,2025
67fc963e13ef2b6ddd3be811,Epidemiology/Public Health,EPH,Fall,2025
67fc963e13ef2b6ddd3be817,General Engineering,EGN,Fall,2025
67fc963e13ef2b6ddd3be81b,German,GER,Fall,2025
67fc963e13ef2b6ddd3be82f,Keyboard Performance,MKP,Fall,2025
67fc963e13ef2b6ddd3be834,Management,MGT,Fall,2025
67fc963e13ef2b6ddd3be80e,Electrical & Computer Engineer,ECE,Fall,2025
67fc963e13ef2b6ddd3be821,Hebrew,HEB,Fall,2025
67fc963e13ef2b6ddd3be839,Marketing,MKT,Fall,2025
67fc963e13ef2b6ddd3be84c,Ocean Sciences,OCE,Fall,2025
67fc963e13ef2b6ddd3be859,Radiation Oncology,RON,Fall,2025
67fc963e13ef2b6ddd3be85b,Religious Studies,REL,Fall,2025
67fc963e13ef2b6ddd3be831,Latin,LAT,Fall,2025
67fc963e13ef2b6ddd3be83d,Media Scoring and Production,MSP,Fall,2025
67fc963e13ef2b6ddd3be83e,Meteorology/Phys Oceanography,MPO,Fall,2025
67fc963e13ef2b6ddd3be840,Military Science,MSL,Fall,2025
67fc963e13ef2b6ddd3be848,Music Therapy,MTY,Fall,2025
67fc963e13ef2b6ddd3be849,Musicology,MCY,Fall,2025
67fc963e13ef2b6ddd3be858,RSMAS General,RSM,Fall,2025
67fc963e13ef2b6ddd3be865,University of Miami Experience,UMX,Fall,2025
67fc963e13ef2b6ddd3be80c,Ecosystem Science and Policy,ECS,Fall,2025
67fc963e13ef2b6ddd3be81c,Global Health Studies,GHS,Fall,2025
67fc963e13ef2b6ddd3be82d,Journalism & Media Management,JMM,Fall,2025
67fc963e13ef2b6ddd3be84d,Ophthalmolgy,OPH,Fall,2025
67fc963e13ef2b6ddd3be850,Physical Therapy,PTS,Fall,2025
67fc963e13ef2b6ddd3be868,Writing Studies,WRS,Fall,2025
67fc963e13ef2b6ddd3be835,Management Science,MAS,Fall,2025
67fc963e13ef2b6ddd3be851,Physics,PHY,Fall,2025
67fc963e13ef2b6ddd3be815,Freshman Seminars Social Scien,FSS,Fall,2025
67fc963e13ef2b6ddd3be819,Geography & Sustainable Dev,GEG,Fall,2025
67fc963e13ef2b6ddd3be825,Industrial & Systems Engineer,ISE,Fall,2025
67fc963e13ef2b6ddd3be83b,Mathematics,MTH,Fall,2025
67fc963e13ef2b6ddd3be83f,Microbiology/Immunology,MIC,Fall,2025
67fc963e13ef2b6ddd3be81a,Geological Sciences,GSC,Fall,2025
67fc963e13ef2b6ddd3be81e,Haitian Creole,HAI,Fall,2025
67fc963e13ef2b6ddd3be820,Healthcare Sciences,HCS,Fall,2025
67fc963e13ef2b6ddd3be830,Kinesiology,KIN,Fall,2025
67fc963e13ef2b6ddd3be833,MAIA Program,IGS,Fall,2025
67fc963e13ef2b6ddd3be843,Molecular Cell and Dev Biology,MDB,Fall,2025
67fc963e13ef2b6ddd3be84e,Philosophy,PHI,Fall,2025
67fc963e13ef2b6ddd3be855,Program Biomedical Sciences,PIB,Fall,2025
67fc963e13ef2b6ddd3be818,Genomic Medicine,GNM,Fall,2025
67fc963e13ef2b6ddd3be823,Human Genetics and Genomics,HGG,Fall,2025
67fc963e13ef2b6ddd3be854,Portuguese,POR,Fall,2025
67fc963e13ef2b6ddd3be856,Psychology,PSY,Fall,2025
67fc963e13ef2b6ddd3be862,Theatre Arts,THA,Fall,2025
67fc963e13ef2b6ddd3be863,Theory and Composition,MTC,Fall,2025
67fc963e13ef2b6ddd3be813,First Year Directions,FYD,Fall,2025
67fc963e13ef2b6ddd3be814,French,FRE,Fall,2025
67fc963e13ef2b6ddd3be827,Instrumental Performance,MIP,Fall,2025
67fc963e13ef2b6ddd3be82e,Judaic Studies,JUS,Fall,2025
67fc963e13ef2b6ddd3be838,Marine Science,MSC,Fall,2025
67fc963e13ef2b6ddd3be852,Physiology/Biophysics,PHS,Fall,2025
67fc963e13ef2b6ddd3be853,Political Science,POL,Fall,2025
67fc963e13ef2b6ddd3be861,Teaching and Learning,TAL,Fall,2025
67fc963e13ef2b6ddd3be867,Vocal Performance,MVP,Fall,2025
67fc963e13ef2b6ddd3be84a,Neuroscience Program,NEU,Fall,2025
67fc963e13ef2b6ddd3be84f,Physical Science,PSC,Fall,2025
67fc963e13ef2b6ddd3be857,Public Health,BPH,Fall,2025
67fc963e13ef2b6ddd3be85a,Real Estate Development,RED,Fall,2025
67fc963e13ef2b6ddd3be85c,Sociology and Criminology,SOC,Fall,2025
67fc963e13ef2b6ddd3be85d,Spanish,SPA,Fall,2025
